Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
2586852;4.029722222222222;45.60166666666667;"45°36'6.000""N 4°1'47.000""E";42012;LE PIC DE MONTFROMENT;"";42600;BARD;Pylône autostable;18.0;ATC FRANCE
2593973;4.408611111111111;45.43138888888889;"45°25'53.000""N 4°24'31.000""E";42218;"";RUE PEYRET LAILLER 24 IMMEUBLE LE MARWIL;42000;SAINT ETIENNE;Immeuble;22.0;"Copropriété, Syndic, SCI"
2605227;5.157777777777778;45.389722222222225;"45°23'23.000""N 5°9'28.000""E";38161;"";CHEMIN DE BRUVE;38260;FARAMANS;Pylône autostable;39.0;FREE-MOBILE
2610235;5.157777777777778;45.475833333333334;"45°28'33.000""N 5°9'28.000""E";38399;PETITS MONTS;"";38440;SAINT JEAN DE BOURNAY;Pylône autostable;30.0;ORANGE
2611554;4.369166666666667;45.39111111111111;"45°23'28.000""N 4°22'9.000""E";42044;"";CHEM DES PLANCHES;42500;CHAMBON FEUGEROLLES;Pylône autostable;27.0;PHOENIX FRANCE INFRASTRUCTURES
2616551;4.424166666666666;45.44222222222222;"45°26'32.000""N 4°25'27.000""E";42218;"";14 R MARC CHARRAS;42000;SAINT ETIENNE;Tunnel;12.5;ORANGE
2621275;4.8902777777777775;45.33222222222222;"45°19'56.000""N 4°53'25.000""E";38051;"";141 LA VIEILLE ROUTE;38150;BOUGE CHAMBALUD;Pylône autostable;24.0;ORANGE
2628556;5.0505555555555555;45.3475;"45°20'51.000""N 5°3'2.000""E";38034;LE BELLAY;CHEMIN DE REVEL;38270;BEAUREPAIRE;Pylône autostable;36.0;TOTEM
2633682;4.920277777777778;45.577222222222225;"45°34'38.000""N 4°55'13.000""E";38558;"";CHEMIN DU SALIN;38200;VILLETTE DE VIENNE;Pylône autostable;30.0;TDF
2643446;5.003611111111111;45.57083333333333;"45°34'15.000""N 5°0'13.000""E";38288;LA GARENNE;CHEMIN DU PANORAMA;38780;OYTIER SAINT OBLAS;Pylône autostable;39.0;TOTEM
2663071;4.554166666666667;45.485;"45°29'6.000""N 4°33'15.000""E";42271;"";1430 RTE DE RICHORE;42740;SAINT PAUL EN JAREZ;Pylône autostable;26.0;CELLNEX
2671230;5.054166666666666;45.66027777777778;"45°39'37.000""N 5°3'15.000""E";38184;LA GARE;ROUTE DÉPARTEMENTALE D153;38540;GRENAY;Pylône autostable;30.0;ATC FRANCE
2671895;4.003333333333333;45.57555555555555;"45°34'32.000""N 4°0'12.000""E";42328;LE MAS;CHEMIN VIANNEY;42600;VERRIERES EN FOREZ;Pylône autostable;39.0;FREE-MOBILE
2677411;4.455555555555556;45.3925;"45°23'33.000""N 4°27'20.000""E";42218;"L'AIRELLE";CHEMIN RURAL DEPARTEMENTALE 8;42100;SAINT ETIENNE;Pylône tubulaire;19.0;PHOENIX FRANCE INFRASTRUCTURES
2677413;4.408333333333333;45.49027777777778;"45°29'25.000""N 4°24'30.000""E";42311;LES GOUTTES;"CHEMIN D'EXPLOITATION PROCHE IMPASSE DES FONTALLIS";42580;TOUR EN JAREZ;Pylône autostable;26.7;PHOENIX FRANCE INFRASTRUCTURES
2689957;4.655833333333334;45.635555555555555;"45°38'8.000""N 4°39'21.000""E";69141;MARSOLAS;CHEMIN DU MOULIN PERRET;69440;MORNANT;Pylône autostable;33.0;ON TOWER FRANCE
2690685;4.235833333333334;45.66694444444445;"45°40'1.000""N 4°14'9.000""E";42135;LES PATUREAUX;ROUTE DU CHATELARD;42210;MARCLOPT;Pylône autostable;33.0;ORANGE
2691953;3.904166666666667;45.538333333333334;"45°32'18.000""N 3°54'15.000""E";63319;"L'AIGUILLON";"";63660;SAINT ANTHEME;Pylône autostable;30.0;ATC FRANCE
2693617;4.549166666666666;45.565555555555555;"45°33'56.000""N 4°32'57.000""E";42283;LA CORDELIÈRE;"CHE DE L'OISEAU";42800;SAINT ROMAIN EN JAREZ;Pylône autostable;30.0;ON TOWER FRANCE
2699767;4.506944444444445;45.54333333333334;"45°32'36.000""N 4°30'25.000""E";42320;LE REY;ROUTE DE ST ROMAIN;42320;VALFLEURY;Pylône autostable;45.0;ON TOWER FRANCE
2710559;4.737777777777778;45.41166666666667;"45°24'42.000""N 4°44'16.000""E";42056;LES PRAIRIES;STADE DE FOOT;42410;CHAVANAY;Pylône autostable;24.0;ATC FRANCE
2715408;4.671111111111111;45.51861111111111;"45°31'7.000""N 4°40'16.000""E";69119;LES FONTACHES;PROCHE RUE DES SAGNES;69420;LONGES;Pylône autostable;27.5;PHOENIX FRANCE INFRASTRUCTURES
2724992;4.6066666666666665;45.646388888888886;"45°38'47.000""N 4°36'24.000""E";69170;LE GIRARDIN;RTE DE ST-MARTIN;69510;RONTALON;Pylône autostable;15.3;PHOENIX FRANCE INFRASTRUCTURES
2814201;4.818888888888889;45.51611111111111;"45°30'58.000""N 4°49'8.000""E";69193;CRET MUNY;D138 ROUTE DU GRISARD;69560;SAINT CYR SUR LE RHONE;Pylône autostable;30.0;ORANGE
2825177;4.073333333333333;45.60666666666667;"45°36'24.000""N 4°4'24.000""E";42147;"";43 RUE DE LA REPUBLIQUE;42600;MONTBRISON;Immeuble;54.0;ORANGE
2831551;4.879166666666666;45.62555555555556;"45°37'32.000""N 4°52'45.000""E";69295;LES MOURLIETTES;CHEMIN DE BEYRON;69360;SIMANDRES;Pylône autostable;30.0;ATC FRANCE
2841493;4.391111111111111;45.46138888888889;"45°27'41.000""N 4°23'28.000""E";42218;"";14 RUE PAUL ET PIERRE GUICHARD STADE GEOFFROY-GUICHARD TRIBUNES NORD ET EST;42000;SAINT ETIENNE;Bâtiment;33.0;Société Privée
2841495;4.389444444444444;45.460277777777776;"45°27'37.000""N 4°23'22.000""E";42218;"";14 RUE PAUL ET PIERRE GUICHARD STADE GEOFFROY-GUICHARD  TRIBUNNES SUD ET OUEST;42000;SAINT ETIENNE;Bâtiment;33.0;Société Privée
2841523;4.110833333333334;45.36472222222222;"45°21'53.000""N 4°6'39.000""E";42192;SAGNE MARIA;ROUTE DU VELAY SAGNE MARIA;42380;ROZIER COTES D AUREC;Pylône autostable;24.0;ATC FRANCE
2849300;4.3933333333333335;45.43666666666667;"45°26'12.000""N 4°23'36.000""E";42218;"";12 RUE LIEUTENANT MORIN AUTOCOM FOURIER;42000;SAINT ETIENNE;Bâtiment;48.0;TOTEM
2864298;4.851666666666667;45.33111111111111;"45°19'52.000""N 4°51'6.000""E";38003;GOLLEY;120 CHEMIN DU MOULIN;38150;AGNIN;Pylône autostable;27.0;ATC FRANCE
2873096;4.760277777777778;45.670833333333334;"45°40'15.000""N 4°45'37.000""E";69027;"";24 R PAUL BOVIER LAPIERRE;69530;BRIGNAIS;Pylône tubulaire;25.0;TOTEM
