Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
835432;5.570555555555556;43.28277777777778;"43°16'58.000""N 5°34'14.000""E";13005;"L'AGRIÉ";IMP DU TUNNEL 850 CHEM DES ESPILLIÈRES;13400;AUBAGNE;Pylône tubulaire;12.0;TOTEM
882670;5.738611111111111;43.259166666666665;"43°15'33.000""N 5°44'19.000""E";83035;LES PLAINES;RÉSERVOIR DU CAMP;83330;CASTELLET;Pylône autostable;18.0;TOTEM
893632;5.338055555555556;43.373333333333335;"43°22'24.000""N 5°20'17.000""E";13215;"";39 IMP DU PLATEAU;13015;MARSEILLE 15E ARRONDISSEMENT;pylône arbre;6.0;TOTEM
963479;5.392222222222222;43.27611111111111;"43°16'34.000""N 5°23'32.000""E";13208;"";20 BD LOUVAIN CASERNE MARINS POMPIERS;13008;MARSEILLE 8E ARRONDISSEMENT;Bâtiment;27.0;Société HLM
971758;5.224166666666667;43.37722222222222;"43°22'38.000""N 5°13'27.000""E";13088;"";14 ZA LES PIÉLETTES CHEMIN DE LA CRIDE;13740;ROVE;Pylône tubulaire;15.0;TOTEM
994868;5.3694444444444445;43.30388888888889;"43°18'14.000""N 5°22'10.000""E";13202;"";38/40 RUE FAUCHIER;13002;MARSEILLE 2E ARRONDISSEMENT;Immeuble;34.0;"Commune, communauté de commune"
1004490;5.2025;43.40111111111111;"43°24'4.000""N 5°12'9.000""E";13054;"";DAHER AEROSPACE ZAC DES FLORIDES;13700;MARIGNANE;Pylône tubulaire;15.0;ORANGE
1023760;5.3997222222222225;43.29222222222222;"43°17'32.000""N 5°23'59.000""E";13205;"";222 R ST PIERRE BATIMENT D;13005;MARSEILLE 5E ARRONDISSEMENT;Bâtiment;37.0;Société HLM
1025769;5.435555555555555;43.31527777777778;"43°18'55.000""N 5°26'8.000""E";13212;"";"23, BOULEVARD DES ROSSIGNOLS";13012;MARSEILLE 12E ARRONDISSEMENT;Immeuble;15.0;"Copropriété, Syndic, SCI"
1026817;5.434444444444445;43.275555555555556;"43°16'32.000""N 5°26'4.000""E";13210;"";29 TRAVERSE CHANTE PERDRIX BAT A4;13010;MARSEILLE 10E ARRONDISSEMENT;Immeuble;30.0;Société HLM
1056301;5.3997222222222225;43.24027777777778;"43°14'25.000""N 5°23'59.000""E";13209;"";22 BD DES OCEANS;13009;MARSEILLE 9E ARRONDISSEMENT;Bâtiment;17.0;"Copropriété, Syndic, SCI"
1120114;5.400555555555556;43.30638888888889;"43°18'23.000""N 5°24'2.000""E";13204;"";84 RUE DES TROIS FRÈRES CARASSO;13004;MARSEILLE 4E ARRONDISSEMENT;Immeuble;30.5;"Copropriété, Syndic, SCI"
1186717;5.365277777777778;43.30361111111111;"43°18'13.000""N 5°21'55.000""E";13202;"";112 BOULEVARD DE DAMES;13002;MARSEILLE 2E ARRONDISSEMENT;Immeuble;29.0;Société Privée
1191269;5.153333333333333;43.329166666666666;"43°19'45.000""N 5°9'12.000""E";13021;"";PARKING DE LA MAISON DE LA MER QUAI PROFESSEUR EMILE VAYSSIERE;13620;CARRY LE ROUET;Pylône tubulaire;16.0;TOTEM
1191274;5.380277777777778;43.27916666666667;"43°16'45.000""N 5°22'49.000""E";13208;"";2-12 BOULEVARD GASTON CRÉMIEUX;13008;MARSEILLE 8E ARRONDISSEMENT;Immeuble;37.5;Société HLM
1192540;5.275555555555556;43.430277777777775;"43°25'49.000""N 5°16'32.000""E";13117;"";D9 STADE DU GRIFFON;13127;VITROLLES;Pylône tubulaire;27.0;TOTEM
1199937;5.4719444444444445;43.28638888888889;"43°17'11.000""N 5°28'19.000""E";13211;"";289 BOULEVARD SAINT MARCEL;13011;MARSEILLE 11E ARRONDISSEMENT;Bâtiment;16.0;"Copropriété, Syndic, SCI"
1283942;5.283611111111111;43.42472222222222;"43°25'29.000""N 5°17'1.000""E";13117;"";511 AV JEAN MONNET DILANIAN MOTOS;13127;VITROLLES;Pylône tubulaire;21.5;BOUYGUES
1289493;5.372777777777777;43.410833333333336;"43°24'39.000""N 5°22'22.000""E";13106;"";"3, CHEMIN DE FABREGOULES RÉSIDENCE LES PINS 3";13240;SEPTEMES LES VALLONS;Immeuble;20.0;"Copropriété, Syndic, SCI"
1297401;5.608611111111111;43.308055555555555;"43°18'29.000""N 5°36'31.000""E";13005;"";1160 CHEMIN DES CRAUX;13400;AUBAGNE;Pylône tubulaire;16.0;HIVORY
1319514;5.224166666666667;43.39277777777778;"43°23'34.000""N 5°13'27.000""E";13043;LE TOES;"";13180;GIGNAC LA NERTHE;Pylône tubulaire;24.0;TOTEM
1319526;5.477222222222222;43.3425;"43°20'33.000""N 5°28'38.000""E";13002;"";"COMPLEXE SPORTIF PIE D'AUTRY CHEMIN DES RASCOUS";13190;ALLAUCH;Pylône tubulaire;21.0;TOTEM
1319803;5.359444444444445;43.34388888888889;"43°20'38.000""N 5°21'34.000""E";13215;"";"35, AVENUE DE SAINT LOUIS";13015;MARSEILLE 15E ARRONDISSEMENT;Bâtiment;23.0;"Copropriété, Syndic, SCI"
1320086;5.424166666666666;43.30916666666667;"43°18'33.000""N 5°25'27.000""E";13212;"";ECOLE PIGIER 54 TRAVERSE MARIDET;13012;MARSEILLE 12E ARRONDISSEMENT;Immeuble;21.1;"Copropriété, Syndic, SCI"
1323839;5.352222222222222;43.3525;"43°21'9.000""N 5°21'8.000""E";13215;"";CHEMIN DE SAINT LOUIS DE ROVE SCI LES MARINES PHOCÉENNE DE TRANSPORT;13015;MARSEILLE 15E ARRONDISSEMENT;Mât;12.0;ORANGE
1326971;5.364444444444445;43.30305555555555;"43°18'11.000""N 5°21'52.000""E";13202;"";QUAI DU LAZARET TUNNEL JOLIETTE SENS NORD-SUD;13002;MARSEILLE 2E ARRONDISSEMENT;Tunnel;5.0;"Commune, communauté de commune"
1327298;5.458333333333333;43.410833333333336;"43°24'39.000""N 5°27'30.000""E";13107;"";1420 CHEMIN DES MARRES;13109;SIMIANE COLLONGUE;Pylône autostable;24.0;TOTEM
1344330;5.269166666666667;43.430277777777775;"43°25'49.000""N 5°16'9.000""E";13117;"";"139, ROUTE DE LA SEDS PARC DU RELAIS DU GRIFFON - BATIMENT D";13127;VITROLLES;Bâtiment;9.0;Société Privée
1352091;5.464722222222222;43.31388888888889;"43°18'50.000""N 5°27'53.000""E";13212;"";8 TRAVERSE DE LA MALVINA TERRAIN MUNICIPAL;13012;MARSEILLE 12E ARRONDISSEMENT;Pylône tubulaire;12.0;ORANGE
