Numéro de mesure;Service;Bande;Niveau mesuré;Niveau extrapolé
171117;DECT (Téléphone domestique);1880-1900;"";""
171118;DECT (Téléphone domestique);1880-1900;"";""
171120;DECT (Téléphone domestique);1880-1900;"";""
171121;DECT (Téléphone domestique);1880-1900;"";""
171125;DECT (Téléphone domestique);1880-1900;"";""
171126;DECT (Téléphone domestique);1880-1900;"";""
171133;DECT (Téléphone domestique);1880-1900;"";""
171134;DECT (Téléphone domestique);1880-1900;"";""
171135;DECT (Téléphone domestique);1880-1900;"";""
171136;DECT (Téléphone domestique);1880-1900;"";""
171142;DECT (Téléphone domestique);1880-1900;"";""
171146;DECT (Téléphone domestique);1880-1900;"";""
171147;DECT (Téléphone domestique);1880-1900;"";""
171148;DECT (Téléphone domestique);1880-1900;"";""
171151;DECT (Téléphone domestique);1880-1900;"";""
171154;DECT (Téléphone domestique);1880-1900;"";""
171157;DECT (Téléphone domestique);1880-1900;"";""
171159;DECT (Téléphone domestique);1880-1900;"";""
171161;DECT (Téléphone domestique);1880-1900;"";""
171163;DECT (Téléphone domestique);1880-1900;"";""
171165;DECT (Téléphone domestique);1880-1900;"";""
171166;DECT (Téléphone domestique);1880-1900;"";""
171170;DECT (Téléphone domestique);1880-1900;"";""
171173;DECT (Téléphone domestique);1880-1900;"";""
171175;DECT (Téléphone domestique);1880-1900;"";""
171178;DECT (Téléphone domestique);1880-1900;"";""
171180;DECT (Téléphone domestique);1880-1900;"";""
171186;DECT (Téléphone domestique);1880-1900;"";""
171187;DECT (Téléphone domestique);1880-1900;"";""
171189;DECT (Téléphone domestique);1880-1900;"";""
171191;DECT (Téléphone domestique);1880-1900;"";""
171192;DECT (Téléphone domestique);1880-1900;"";""
171193;DECT (Téléphone domestique);1880-1900;"";""
171197;DECT (Téléphone domestique);1880-1900;"";""
171200;DECT (Téléphone domestique);1880-1900;"";""
171203;DECT (Téléphone domestique);1880-1900;"";""
171204;DECT (Téléphone domestique);1880-1900;"";""
171210;DECT (Téléphone domestique);1880-1900;"";""
171212;DECT (Téléphone domestique);1880-1900;"";""
171215;DECT (Téléphone domestique);1880-1900;"";""
171218;DECT (Téléphone domestique);1880-1900;"";""
171220;DECT (Téléphone domestique);1880-1900;"";""
171221;DECT (Téléphone domestique);1880-1900;"";""
171225;DECT (Téléphone domestique);1880-1900;"";""
171230;DECT (Téléphone domestique);1880-1900;"";""
171252;DECT (Téléphone domestique);1880-1900;"";""
171258;DECT (Téléphone domestique);1880-1900;"";""
171274;DECT (Téléphone domestique);1880-1900;0.13;""
171292;DECT (Téléphone domestique);1880-1900;"";""
171324;DECT (Téléphone domestique);1880-1900;"";""
171326;DECT (Téléphone domestique);1880-1900;"";""
171333;DECT (Téléphone domestique);1880-1900;"";""
171337;DECT (Téléphone domestique);1880-1900;"";""
171341;DECT (Téléphone domestique);1880-1900;"";""
171348;DECT (Téléphone domestique);1880-1900;"";""
171360;DECT (Téléphone domestique);1880-1900;"";""
171366;DECT (Téléphone domestique);1880-1900;"";""
171368;DECT (Téléphone domestique);1880-1900;"";""
171372;DECT (Téléphone domestique);1880-1900;"";""
171379;DECT (Téléphone domestique);1880-1900;"";""
171387;DECT (Téléphone domestique);1880-1900;"";""
171392;DECT (Téléphone domestique);1880-1900;"";""
171398;DECT (Téléphone domestique);1880-1900;"";""
171404;DECT (Téléphone domestique);1880-1900;"";""
171408;DECT (Téléphone domestique);1880-1900;"";""
171418;DECT (Téléphone domestique);1880-1900;"";""
171420;DECT (Téléphone domestique);1880-1900;"";""
171435;DECT (Téléphone domestique);1880-1900;"";""
171440;DECT (Téléphone domestique);1880-1900;"";""
171459;DECT (Téléphone domestique);1880-1900;"";""
171467;DECT (Téléphone domestique);1880-1900;"";""
171472;DECT (Téléphone domestique);1880-1900;"";""
171496;DECT (Téléphone domestique);1880-1900;"";""
171504;DECT (Téléphone domestique);1880-1900;"";""
171515;DECT (Téléphone domestique);1880-1900;0.06;""
171533;DECT (Téléphone domestique);1880-1900;"";""
171569;DECT (Téléphone domestique);1880-1900;"";""
171572;DECT (Téléphone domestique);1880-1900;"";""
171593;DECT (Téléphone domestique);1880-1900;"";""
171653;DECT (Téléphone domestique);1880-1900;"";""
171660;DECT (Téléphone domestique);1880-1900;"";""
171694;DECT (Téléphone domestique);1880-1900;0.01;""
171756;DECT (Téléphone domestique);1880-1900;"";""
171773;DECT (Téléphone domestique);1880-1900;"";""
171778;DECT (Téléphone domestique);1880-1900;"";""
171785;DECT (Téléphone domestique);1880-1900;"";""
171792;DECT (Téléphone domestique);1880-1900;"";""
171827;DECT (Téléphone domestique);1880-1900;"";""
171831;DECT (Téléphone domestique);1880-1900;"";""
171832;DECT (Téléphone domestique);1880-1900;"";""
171840;DECT (Téléphone domestique);1880-1900;"";""
171844;DECT (Téléphone domestique);1880-1900;"";""
171868;DECT (Téléphone domestique);1880-1900;"";""
171893;DECT (Téléphone domestique);1880-1900;"";""
171902;DECT (Téléphone domestique);1880-1900;"";""
171906;DECT (Téléphone domestique);1880-1900;"";""
171926;DECT (Téléphone domestique);1880-1900;"";""
171927;DECT (Téléphone domestique);1880-1900;"";""
171931;DECT (Téléphone domestique);1880-1900;"";""
171932;DECT (Téléphone domestique);1880-1900;"";""
171933;DECT (Téléphone domestique);1880-1900;"";""
171936;DECT (Téléphone domestique);1880-1900;"";""
171937;DECT (Téléphone domestique);1880-1900;"";""
171939;DECT (Téléphone domestique);1880-1900;"";""
171940;DECT (Téléphone domestique);1880-1900;"";""
171941;DECT (Téléphone domestique);1880-1900;"";""
171942;DECT (Téléphone domestique);1880-1900;"";""
171943;DECT (Téléphone domestique);1880-1900;"";""
171946;DECT (Téléphone domestique);1880-1900;"";""
171947;DECT (Téléphone domestique);1880-1900;"";""
171948;DECT (Téléphone domestique);1880-1900;"";""
171949;DECT (Téléphone domestique);1880-1900;"";""
171950;DECT (Téléphone domestique);1880-1900;"";""
171951;DECT (Téléphone domestique);1880-1900;"";""
171952;DECT (Téléphone domestique);1880-1900;"";""
171953;DECT (Téléphone domestique);1880-1900;"";""
171954;DECT (Téléphone domestique);1880-1900;"";""
171955;DECT (Téléphone domestique);1880-1900;"";""
171957;DECT (Téléphone domestique);1880-1900;"";""
171961;DECT (Téléphone domestique);1880-1900;"";""
171962;DECT (Téléphone domestique);1880-1900;"";""
