Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
463076;2.2047222222222222;48.93694444444444;"48°56'13.000""N 2°12'17.000""E";95063;CITÉ DE LA BERTHIE;"16 , R DE LA BERTHIE IMM CITÉ DES SYCOMORES";95870;BEZONS;Immeuble;38.0;Société HLM
463604;2.0327777777777776;48.6975;"48°41'51.000""N 2°1'58.000""E";78160;LES CHARBONNIERS;RTE DE CHOISEL PROCHE STATION POMPAGE;78460;CHEVREUSE;Pylône tubulaire;32.0;"Commune, communauté de commune"
463678;1.9058333333333333;49.02194444444444;"49°1'19.000""N 1°54'21.000""E";78261;ERMITAGE DU CLOS VIGNY;CHEM DE MEULAN À MAGNY EN VEXIN;78250;GAILLON SUR MONTCIENT;Pylône autostable;25.7;ATC FRANCE
463742;2.3994444444444443;48.632777777777775;"48°37'58.000""N 2°23'58.000""E";91521;"";"8 R DU FRONT POPULAIRE ZI DU BOIS DE L'EPINE";91130;RIS ORANGIS;Bâtiment;25.0;Société Privée
464872;2.0933333333333333;48.609722222222224;"48°36'35.000""N 2°5'36.000""E";91634;LA MICHAUDIERE;"CHEM RURAL N°1 D'ANGERVILLIERS";91640;VAUGRIGNEUSE;Pylône autostable;42.0;ATC FRANCE
465422;1.868611111111111;48.66888888888889;"48°40'8.000""N 1°52'7.000""E";78655;"LA PATTE D'OIE";IMP DE CLERAMBAULT;78125;VIEILLE EGLISE EN YVELINES;Pylône autostable;40.0;ATC FRANCE
465467;2.4855555555555555;48.83722222222222;"48°50'14.000""N 2°29'8.000""E";94052;"";"113, GRANDE R CHARLES DE GAULLE";94130;NOGENT SUR MARNE;Immeuble;22.6;"Copropriété, Syndic, SCI"
465955;1.9133333333333333;48.79833333333333;"48°47'54.000""N 1°54'48.000""E";78321;"";R DE CHATEAU VILAIN - N 12 - TUN DE PONTCHARTRAIN;78760;JOUARS PONTCHARTRAIN;Tunnel;5.8;DDE
465998;1.8047222222222223;48.98361111111111;"48°59'1.000""N 1°48'17.000""E";78267;"";R DU MONTOIR RTE BREUIL;78440;GARGENVILLE;"Château d'eau - réservoir";45.0;"Commune, communauté de commune"
466049;2.2800000000000002;48.71361111111111;"48°42'49.000""N 2°16'48.000""E";91136;"";RTE DE MASSY PROCHE INTERSEC A 10 ET RD 58 PYLONE FT;91160;CHAMPLAN;Pylône autostable;31.0;TOTEM
466441;2.7469444444444444;48.82888888888889;"48°49'44.000""N 2°44'49.000""E";77058;"";A.4 - AIRE DE SERVICE DE FERRIÈRES SENS PARIS-PROVINCE PYLÔNE SANEF;77600;BUSSY SAINT GEORGES;Pylône autostable;30.0;"Sociétés d'Autoroutes"
466550;2.299444444444444;48.9225;"48°55'21.000""N 2°17'58.000""E";92036;"";49 R HENRI BARBUSSE;92230;GENNEVILLIERS;Immeuble;26.5;Société HLM
466579;2.314722222222222;48.91222222222222;"48°54'44.000""N 2°18'53.000""E";92024;"";51 R PIERRE;92110;CLICHY;Immeuble;30.0;"Copropriété, Syndic, SCI"
466767;3.0244444444444443;49.041111111111114;"49°2'28.000""N 3°1'28.000""E";77257;"L'ORMELET";LES VINGT ARPENTS D 147;77440;LIZY SUR OURCQ;Pylône autostable;38.0;SNCF Réseau
