Numéro de mesure;Longitude;Latitude;Position;Insee;Adresse;Complément;Code postal;Commune;Date de mesure;Mesure réalisée;Rapport;Conformité de la mesure;Niveau global;"Type d'environnement";laboratoire
177025;2.37007;48.88051;"48°52'49.836""N 2°22'12.252""E";75110;Boulevard de la Vilette;"";75010;PARIS 10E ARRONDISSEMENT;16/08/2022;En extérieur;RPUB_150161.pdf;Oui;1.16;Rue / Route / Parking;EXEM
177063;2.162658;48.773829;"48°46'25.784""N 2°9'45.569""E";78322;Rue des Picoteuses;"";78350;JOUY EN JOSAS;17/08/2022;En intérieur;RPUB_150240.pdf;Oui;0.24;"Lieu d'habitation";EXEM
177078;2.169864;48.770955;"48°46'15.438""N 2°10'11.510""E";78322;Rue des Marnières;"";78350;JOUY EN JOSAS;17/08/2022;En intérieur;RPUB_150238.pdf;Oui;1.26;"Lieu d'habitation";EXEM
177079;2.165616;48.774915;"48°46'29.694""N 2°9'56.218""E";78322;Rue Hoche;"";78350;JOUY EN JOSAS;17/08/2022;En intérieur;RPUB_150239.pdf;Oui;0.21;"Lieu d'habitation";EXEM
177082;2.227454;48.874885;"48°52'29.586""N 2°13'38.834""E";92073;Rue Carnot;"";92150;SURESNES;27/07/2022;En extérieur;RPUB_150210.pdf;Oui;8.72;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
177085;2.195596;48.780322;"48°46'49.159""N 2°11'44.146""E";78640;"Avenue de l'Europe";"";78140;VELIZY VILLACOUBLAY;26/07/2022;En extérieur;RPUB_150209.pdf;Oui;0.82;Rue / Route / Parking;EXEM
177096;2.319175;48.988829;"48°59'19.784""N 2°19'9.030""E";95428;Place Roger Levanneur;"";95160;MONTMORENCY;18/08/2022;En intérieur;RPUB_150266.pdf;Oui;2.13;"Lieu d'habitation";EXEM
177133;2.565522;48.659866;"48°39'35.518""N 2°33'55.879""E";77122;Rue Jean-François Millet;"";77380;COMBS LA VILLE;22/08/2022;En extérieur;RPUB_150285.pdf;Oui;1.13;Rue / Route / Parking;EXEM
177147;2.719717;48.877043;"48°52'37.355""N 2°43'10.981""E";77243;Avenue Raymond Poincaré;"";77400;LAGNY SUR MARNE;23/08/2022;En extérieur;RPUB_150313.pdf;Oui;1.51;Divers;EXEM
177152;2.637706;48.830112;"48°49'48.403""N 2°38'15.742""E";77146;Allée du 1er Mai;"";77183;CROISSY BEAUBOURG;23/08/2022;En extérieur;RPUB_150289.pdf;Oui;1.54;Rue / Route / Parking;EXEM
177157;2.67487;48.867877;"48°52'4.357""N 2°40'29.532""E";77438;Rue de la Noue Guimante;"";77400;SAINT THIBAULT DES VIGNES;23/08/2022;En extérieur;RPUB_150286.pdf;Oui;0.85;Rue / Route / Parking;EXEM
177170;2.322085;48.879456;"48°52'46.042""N 2°19'19.506""E";75108;Rue de Constantinople;"";75008;PARIS 8E ARRONDISSEMENT;23/08/2022;En extérieur;RPUB_150322.pdf;Oui;0.8;Rue / Route / Parking;EXEM
177190;2.61362;48.847448;"48°50'50.813""N 2°36'49.032""E";77337;Allée Pierre Joseph Proudhon;"";77186;NOISIEL;23/08/2022;En extérieur;RPUB_150320.pdf;Oui;0.91;Rue / Route / Parking;EXEM
177194;2.31715;48.879612;"48°52'46.603""N 2°19'1.740""E";75108;Rue du Général Foy;"";75008;PARIS 8E ARRONDISSEMENT;24/08/2022;En extérieur;RPUB_150363.pdf;Oui;1.34;Rue / Route / Parking;EXEM
177201;2.324831;48.850569;"48°51'2.048""N 2°19'29.392""E";75107;Rue de Sèvres;"";75007;PARIS 7E ARRONDISSEMENT;24/08/2022;En extérieur;RPUB_150362.pdf;Oui;1.0;Rue / Route / Parking;EXEM
