Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
749816;-1.685;48.10805555555555;"48°6'29.000""N 1°41'6.000""W";35238;"";2 BLD DE LA TOUR DE BRETAGNE PL DE BRETAGNE;35000;RENNES;Immeuble;30.5;"Copropriété, Syndic, SCI"
749818;-1.653888888888889;48.11055555555556;"48°6'38.000""N 1°39'14.000""W";35238;"";3 AV FRANCOIS CHÂTEAU;35000;RENNES;Pylône autostable;45.0;TOTEM
749820;-1.7294444444444443;48.10722222222222;"48°6'26.000""N 1°43'46.000""W";35238;"";216/218 RTE DE LORIENT;35000;RENNES;Pylône autostable;30.0;TOTEM
749822;-1.8944444444444444;48.174166666666665;"48°10'27.000""N 1°53'40.000""W";35227;LA BOURGOGNAIS;CHEM RURAL;35137;PLEUMELEUC;Pylône autostable;31.0;TOTEM
749824;-1.7205555555555556;48.15222222222222;"48°9'8.000""N 1°43'14.000""W";35189;COUPIGNÉ;CHAMP DU FOUR;35760;MONTGERMONT;Pylône tubulaire;37.0;TOTEM
749891;-1.6422222222222222;48.10722222222222;"48°6'26.000""N 1°38'32.000""W";35238;"";AV CHARDONNET;35000;RENNES;Pylône autostable;31.0;TOTEM
749894;-1.6683333333333334;48.11611111111111;"48°6'58.000""N 1°40'6.000""W";35238;"";48 BD  SÉVIGNÉ;35000;RENNES;Immeuble;30.0;"Copropriété, Syndic, SCI"
749933;-1.6958333333333333;48.12833333333333;"48°7'42.000""N 1°41'45.000""W";35238;"";3  AV DE CUCILLE D.D.E.;35000;RENNES;Bâtiment;32.0;Conseil Départemental
749936;-1.6416666666666666;48.140277777777776;"48°8'25.000""N 1°38'30.000""W";35238;"";LA BASSE GAYEULLE COMPLEXE SPORTIF;35000;RENNES;Pylône autostable;30.0;TOTEM
749938;-1.6875;48.094722222222224;"48°5'41.000""N 1°41'15.000""W";35238;"";17 BD GEORGES CLÉMENCEAU;35000;RENNES;Immeuble;29.0;"Copropriété, Syndic, SCI"
749942;-1.6675;48.09527777777778;"48°5'43.000""N 1°40'3.000""W";35238;"";R BIGOT DE PRÉAMENEU EGLISE STE THÉRÈSE DE QUINELEU;35000;RENNES;Monument religieux;62.0;Association
749944;-1.642777777777778;48.12361111111111;"48°7'25.000""N 1°38'34.000""W";35238;"";33 AV DU PR CHARLES FOULON BAT D BEAULIEU;35000;RENNES;Immeuble;26.0;"Etat, Ministère"
749958;-1.6341666666666668;48.100833333333334;"48°6'3.000""N 1°38'3.000""W";35238;"";14 R DU PRE DU BOIS ZI DE RENNES;35000;RENNES;Immeuble;21.0;"Copropriété, Syndic, SCI"
749961;-1.7194444444444446;48.11472222222222;"48°6'53.000""N 1°43'10.000""W";35238;LE PETIT CHAMPEAUX;RTE DE VEZIN N 136;35000;RENNES;Pylône tubulaire;30.0;TOTEM
749968;-1.2877777777777777;48.10027777777778;"48°6'1.000""N 1°17'16.000""W";35252;"";ZA LA BRUÈRE;35500;SAINT AUBIN DES LANDES;Pylône autostable;45.0;SFR
